POLICY_ID,cloud_provider,service,check_name,check_description,Selected,Category,Code_Tfsec,Code_Checkov,,
POL17,azure,appservice,account-identity-registered,Web App has registration with AD enabled,TRUE,Access policy,AVD-AZU-0002,,,
POL18,azure,appservice,authentication-enabled,App Service authentication is activated,TRUE,Access policy,AVD-AZU-0003,CKV_AZURE_13,Not targeted by our study,
POL19,azure,appservice,enable-http2,Web App uses the latest HTTP version,TRUE,Outdated feature,AVD-AZU-0005,CKV_AZURE_18,,
POL20,azure,appservice,enforce-https,Ensure the Function App can only be accessed via HTTPS. The default is false.,TRUE,Encryption in transit,AVD-AZU-0004,CKV_AZURE_70,,
POL21,azure,appservice,require-client-cert,Web App accepts incoming client certificate,TRUE,Encryption in transit,AVD-AZU-0001,CKV_AZURE_17,Not targeted by our study,
POL22,azure,appservice,use-secure-tls-policy,Web App uses latest TLS version,TRUE,Encryption in transit,AVD-AZU-0006,CKV_AZURE_15,,
POL23,azure,compute,disable-password-authentication,Password authentication should be disabled on Azure virtual machines,TRUE,Access policy,AVD-AZU-0039,CKV_AZURE_149,Not targeted by our study,
POL24,azure,compute,enable-disk-encryption,Enable disk encryption on managed disk,TRUE,Encryption at rest,AVD-AZU-0038,CKV_AZURE_2,,
POL25,azure,compute,no-secrets-in-custom-data,Ensure that no sensitive credentials are exposed in VM custom_data,TRUE,Hard-coded secret,AVD-AZU-0037,CKV_AZURE_45,,
POL26,azure,datalake,enable-at-rest-encryption,Unencrypted data lake storage.,TRUE,Encryption at rest,AVD-AZU-0036,CKV_AZURE_105,,
POL27,azure,database,all-threat-alerts-enabled,No threat detections are set,TRUE,Logging/Monitoring,AVD-AZU-0028,CKV_AZURE_25,Not targeted by our study,
POL28,azure,database,enable-audit,Auditing should be enabled on Azure SQL Databases,TRUE,Logging/Monitoring,AVD-AZU-0027,,,
POL29,azure,database,enable-ssl-enforcement,SSL should be enforced on database connections where applicable,TRUE,Encryption in transit,AVD-AZU-0020,CKV_AZURE_28,Not targeted by our study,
POL30,azure,database,enable-ssl-enforcement,SSL should be enforced on database connections where applicable,TRUE,Encryption in transit,AVD-AZU-0020,CKV_AZURE_29,Not targeted by our study,
POL31,azure,database,enable-ssl-enforcement,SSL should be enforced on database connections where applicable,TRUE,Encryption in transit,AVD-AZU-0020,CKV_AZURE_47,Not targeted by our study,
POL32,azure,database,no-public-access,Ensure databases are not publicly accessible,TRUE,Access policy,AVD-AZU-0022,CKV_AZURE_11,,
POL33,azure,database,no-public-firewall-access,Ensure database firewalls do not permit public access,TRUE,Access policy,AVD-AZU-0029,CKV_AZURE_220,Not targeted by our study,
POL34,azure,database,postgres-configuration-log-checkpoints,Ensure server parameter 'log_checkpoints' is set to 'ON' for PostgreSQL Database Server,TRUE,Logging/Monitoring,AVD-AZU-0024,CKV_AZURE_30,,
POL35,azure,database,postgres-configuration-log-connections,Ensure server parameter 'log_connections' is set to 'ON' for PostgreSQL Database Server,TRUE,Logging/Monitoring,AVD-AZU-0019,CKV_AZURE_31,,
POL36,azure,database,secure-tls-policy,Databases should have the minimum TLS set for connections,TRUE,Encryption in transit,AVD-AZU-0026,"CKV_AZURE_54, CKV_AZURE_52, ",,
