Id,Type,Entity,Policy,IaC,Selected,Category
85,CKV_AWS_30,resource,aws_elasticache_replication_group,Ensure all data stored in the Elasticache Replication Group is securely encrypted at transit,TRUE,Encryption in transit
86,CKV_AWS_31,resource,aws_elasticache_replication_group,Ensure all data stored in the Elasticache Replication Group is securely encrypted at transit and has auth token,TRUE,Encryption in transit
87,CKV_AWS_32,resource,aws_ecr_repository_policy,Ensure ECR policy is not set to public,TRUE,Access policy
88,CKV_AWS_33,resource,aws_kms_key,Ensure KMS key policy does not contain wildcard (*) principal,TRUE,Admin by default
89,CKV_AWS_34,resource,aws_cloudfront_distribution,Ensure cloudfront distribution ViewerProtocolPolicy is set to HTTPS,TRUE,Encryption in transit
90,CKV_AWS_35,resource,aws_cloudtrail,Ensure CloudTrail logs are encrypted at rest using KMS CMKs,TRUE,Encryption at rest
93,CKV_AWS_38,resource,aws_eks_cluster,Ensure Amazon EKS public endpoint not accessible to 0.0.0.0/0,TRUE,IP Address binding
94,CKV_AWS_39,resource,aws_eks_cluster,Ensure Amazon EKS public endpoint disabled,TRUE,Access policy
95,CKV_AWS_40,resource,aws_iam_policy_attachment,Ensure IAM policies are attached only to groups or roles (Reducing access management complexity may in-turn reduce opportunity for a principal to inadvertently receive or retain excessive privileges.),TRUE,Access policy
98,CKV_AWS_41,provider,aws,Ensure no hard coded AWS access key and secret key exists in provider,TRUE,Hard-coded secret
99,CKV_AWS_42,resource,aws_efs_file_system,Ensure EFS is securely encrypted,TRUE,Encryption at rest
100,CKV_AWS_43,resource,aws_kinesis_stream,Ensure Kinesis Stream is securely encrypted,TRUE,Encryption at rest
101,CKV_AWS_44,resource,aws_neptune_cluster,Ensure Neptune storage is securely encrypted,TRUE,Encryption at rest
102,CKV_AWS_45,resource,aws_lambda_function,Ensure no hard-coded secrets exist in lambda environment,TRUE,Hard-coded secret
103,CKV_AWS_46,resource,aws_instance,Ensure no hard-coded secrets exist in EC2 user data,TRUE,Hard-coded secret
104,CKV_AWS_47,resource,aws_dax_cluster,Ensure DAX is encrypted at rest (default is unencrypted),TRUE,Encryption at rest
105,CKV_AWS_48,resource,aws_mq_broker,Ensure MQ Broker logging is enabled,TRUE,Logging/Monitoring
106,CKV_AWS_49,data,aws_iam_policy_document,"Ensure no IAM policies documents allow ""*"" as a statement's actions",TRUE,Admin by default
107,CKV_AWS_50,resource,aws_lambda_function,X-ray tracing is enabled for Lambda,TRUE,Logging/Monitoring
109,CKV_AWS_53,resource,aws_s3_bucket_public_access_block,Ensure S3 bucket has block public ACLS enabled,TRUE,Access policy
110,CKV_AWS_54,resource,aws_s3_bucket_public_access_block,Ensure S3 bucket has block public policy enabled,TRUE,Access policy
111,CKV_AWS_55,resource,aws_s3_bucket_public_access_block,Ensure S3 bucket has ignore public ACLs enabled,TRUE,Access policy
112,CKV_AWS_56,resource,aws_s3_bucket_public_access_block,Ensure S3 bucket has 'restrict_public_bucket' enabled,TRUE,Access policy
113,CKV_AWS_57,resource,aws_s3_bucket,S3 Bucket has an ACL defined which allows public WRITE access.,TRUE,Access policy
115,CKV_AWS_58,resource,aws_eks_cluster,Ensure EKS Cluster has Secrets Encryption Enabled,TRUE,Hard-coded secret
116,CKV_AWS_59,resource,aws_api_gateway_method,Ensure there is no open access to back-end resources through API,TRUE,Access policy
117,CKV_AWS_60,resource,aws_iam_role,Ensure IAM role allows only specific services or principals to assume it,TRUE,Access policy
118,CKV_AWS_61,resource,aws_iam_role,Ensure AWS IAM policy does not allow assume role permission across all services,TRUE,Access policy
119,CKV_AWS_62,resource,aws_iam_group_policy,"Ensure IAM policies that allow full ""-"" administrative privileges are not created",TRUE,Admin by default
124,CKV_AWS_63,resource,aws_iam_group_policy,"Ensure no IAM policies documents allow ""*"" as a statement's actions",TRUE,Admin by default
129,CKV_AWS_64,resource,aws_redshift_cluster,Ensure all data stored in the Redshift cluster is securely encrypted at rest,TRUE,Encryption at rest
132,CKV_AWS_67,resource,aws_cloudtrail,Ensure CloudTrail is enabled in all Regions,TRUE,Logging/Monitoring
133,CKV_AWS_68,resource,aws_cloudfront_distribution,CloudFront Distribution should have WAF enabled,TRUE,Access policy
134,CKV_AWS_69,resource,aws_mq_broker,Ensure MQ Broker is not publicly exposed,TRUE,Access policy
137,CKV_AWS_71,resource,aws_redshift_cluster,Ensure Redshift Cluster logging is enabled,TRUE,Logging/Monitoring
138,CKV_AWS_72,resource,aws_sqs_queue_policy,Ensure SQS policy does not allow ALL (*) actions.,TRUE,Admin by default
139,CKV_AWS_73,resource,aws_api_gateway_stage,Ensure API Gateway has X-Ray Tracing enabled,TRUE,Logging/Monitoring
142,CKV_AWS_76,resource,aws_api_gateway_stage,Ensure API Gateway has Access Logging enabled,TRUE,Logging/Monitoring
144,CKV_AWS_77,resource,aws_athena_database,Ensure Athena Database is encrypted at rest (default is unencrypted),TRUE,Encryption at rest
146,CKV_AWS_79,resource,aws_instance,Ensure Instance Metadata Service Version 1 is not enabled,TRUE,Outdated feature
152,CKV_AWS_83,resource,aws_elasticsearch_domain,Ensure Elasticsearch Domain enforces HTTPS,TRUE,Encryption in transit
154,CKV_AWS_84,resource,aws_elasticsearch_domain,Ensure Elasticsearch Domain Logging is enabled,TRUE,Logging/Monitoring
158,CKV_AWS_87,resource,aws_redshift_cluster,Redshift cluster should not be publicly accessible,TRUE,Access policy
159,CKV_AWS_88,resource,aws_instance,EC2 instance should not have public IP.,TRUE,IP Address binding
163,CKV_AWS_91,resource,aws_alb,Ensure the ELBv2 (Application/Network) has access logging enabled,TRUE,Logging/Monitoring
165,CKV_AWS_92,resource,aws_elb,Ensure the ELB has access logging enabled,TRUE,Logging/Monitoring
168,CKV_AWS_94,resource,aws_glue_data_catalog_encryption_settings,Ensure Glue Data Catalog Encryption is enabled,TRUE,Encryption at rest
169,CKV_AWS_96,resource,aws_rds_cluster,Ensure all data stored in Aurora is securely encrypted at rest,TRUE,Encryption at rest
170,CKV_AWS_97,resource,aws_ecs_task_definition,Ensure Encryption in transit is enabled for EFS volumes in ECS Task definitions,TRUE,Encryption in transit
171,CKV_AWS_98,resource,aws_sagemaker_endpoint_configuration,Ensure all data stored in the Sagemaker Endpoint is securely encrypted at rest,TRUE,Encryption at rest
172,CKV_AWS_99,resource,aws_glue_security_configuration,Ensure Glue Security Configuration Encryption is enabled,TRUE,Encryption at rest
173,CKV_AWS_100,resource,aws_eks_node_group,Ensure AWS EKS node group does not have implicit SSH access from 0.0.0.0/0,TRUE,IP Address binding
174,CKV_AWS_101,resource,aws_neptune_cluster,Ensure Neptune logging is enabled,TRUE,Logging/Monitoring
175,CKV_AWS_102,resource,aws_neptune_cluster_instance,Ensure Neptune Cluster instance is not publicly available,TRUE,Access policy
176,CKV_AWS_103,resource,aws_alb_listener,Ensure that load balancer is using TLS 1.2,TRUE,Encryption in transit
180,CKV_AWS_105,resource,aws_redshift_parameter_group,Ensure Redshift uses SSL,TRUE,Encryption in transit
181,CKV_AWS_106,resource,aws_ebs_encryption_by_default,Ensure EBS default encryption is enabled,TRUE,Encryption at rest
182,CKV_AWS_107,data,aws_iam_policy_document,Ensure IAM policies does not allow credentials exposure,TRUE,Access policy
183,CKV_AWS_108,data,aws_iam_policy_document,Ensure IAM policies does not allow data exfiltration,TRUE,Access policy
185,CKV_AWS_110,data,aws_iam_policy_document,Ensure IAM policies does not allow privilege escalation,TRUE,Access policy
186,CKV_AWS_111,data,aws_iam_policy_document,Ensure IAM policies does not allow write access without constraints,TRUE,Access policy
187,CKV_AWS_112,resource,aws_ssm_document,Ensure Session Manager data is encrypted in transit,TRUE,Encryption in transit
188,CKV_AWS_113,resource,aws_ssm_document,Ensure Session Manager logs are enabled and encrypted,TRUE,Logging/Monitoring
192,CKV_AWS_117,resource,aws_lambda_function,Ensure that AWS Lambda function is configured inside a VPC,TRUE,Access policy
193,CKV_AWS_118,resource,aws_db_instance,Ensure that enhanced monitoring is enabled for Amazon RDS instances,TRUE,Logging/Monitoring
195,CKV_AWS_119,resource,aws_dynamodb_table,Ensure DynamoDB Tables are encrypted using a KMS Customer Managed CMK,TRUE,Encryption at rest
201,CKV_AWS_126,resource,aws_instance,Ensure that detailed monitoring is enabled for EC2 instances,TRUE,Logging/Monitoring
205,CKV_AWS_130,resource,aws_subnet,Ensure VPC subnets do not assign public IP by default,TRUE,IP Address binding
206,CKV_AWS_131,resource,aws_alb,Ensure that ALB drops HTTP headers,TRUE,Encryption in transit
212,CKV_AWS_136,resource,aws_ecr_repository,Ensure that ECR repositories are encrypted using KMS,TRUE,Encryption at rest
217,CKV_AWS_140,resource,aws_rds_global_cluster,Ensure that RDS global clusters are encrypted,TRUE,Encryption at rest
219,CKV_AWS_142,resource,aws_redshift_cluster,Ensure that Redshift cluster is encrypted by KMS,TRUE,Encryption at rest
235,CKV_AWS_155,resource,aws_workspaces_workspace,Ensure that Workspace user volumes are encrypted,TRUE,Encryption at rest
236,CKV_AWS_156,resource,aws_workspaces_workspace,Ensure that Workspace root volumes are encrypted,TRUE,Encryption at rest
248,CKV_AWS_168,resource,aws_sqs_queue,Ensure SQS queue policy is not public by only allowing specific services or principals to access it,TRUE,Access policy
250,CKV_AWS_169,resource,aws_sns_topic_policy,Ensure SNS topic policy is not public by only allowing specific services or principals to access it,TRUE,Access policy
254,CKV_AWS_173,resource,aws_lambda_function,Check encryption settings for Lambda environmental variable,TRUE,Encryption at rest
287,CKV_AWS_201,resource,aws_memorydb_cluster,Ensure MemoryDB is encrypted at rest using KMS CMKs,TRUE,Encryption at rest
288,CKV_AWS_202,resource,aws_memorydb_cluster,Ensure MemoryDB data is encrypted in transit,TRUE,Encryption in transit
290,CKV_AWS_204,resource,aws_ami,Ensure AMIs are encrypted using KMS CMKs,TRUE,Encryption at rest
294,CKV_AWS_208,resource,aws_mq_broker,Ensure MQBroker version is current,TRUE,Outdated feature
296,CKV_AWS_209,resource,aws_mq_broker,Ensure MQ broker encrypted by KMS using a customer managed Key (CMK),TRUE,Encryption at rest
299,CKV_AWS_212,resource,aws_dms_replication_instance,Ensure EBS Volume is encrypted by KMS using a customer managed Key (CMK),TRUE,Encryption at rest
300,CKV_AWS_213,resource,aws_load_balancer_policy,Ensure ELB Policy uses only secure protocols,TRUE,Encryption in transit
301,CKV_AWS_214,resource,aws_appsync_api_cache,Ensure Appsync API Cache is encrypted at rest,TRUE,Encryption at rest
302,CKV_AWS_215,resource,aws_appsync_api_cache,Ensure Appsync API Cache is encrypted in transit,TRUE,Encryption in transit
313,CKV_AWS_226,resource,aws_db_instance,Ensure DB instance gets all minor upgrades automatically,TRUE,Outdated feature
315,CKV_AWS_227,resource,aws_kms_key,Ensure KMS key is enabled,TRUE,Encryption at rest
318,CKV_AWS_229,resource,aws_network_acl,Ensure no NACL allow ingress from 0.0.0.0:0 to port 21,TRUE,IP Address binding
320,CKV_AWS_230,resource,aws_network_acl,Ensure no NACL allow ingress from 0.0.0.0:0 to port 20,TRUE,IP Address binding
322,CKV_AWS_231,resource,aws_network_acl,Ensure no NACL allow ingress from 0.0.0.0:0 to port 3389,TRUE,IP Address binding
324,CKV_AWS_232,resource,aws_network_acl,Ensure no NACL allow ingress from 0.0.0.0:0 to port 22,TRUE,IP Address binding
345,CKV_AWS_250,resource,aws_db_instance,Ensure that RDS PostgreSQL instances use a non vulnerable version with the log_fdw extension (https://aws.amazon.com/security/security-bulletins/AWS-2022-004/),TRUE,Outdated feature
347,CKV_AWS_251,resource,aws_cloudtrail,Ensure CloudTrail logging is enabled,TRUE,Logging/Monitoring
356,CKV_AWS_260,resource,aws_security_group,Ensure no security groups allow ingress from 0.0.0.0:0 to port 80,TRUE,IP Address binding
370,CKV2_AWS_1,resource,aws_network_acl,Ensure that all NACL are attached to subnets,TRUE,IP Address binding
372,CKV2_AWS_2,resource,aws_ebs_volume,Ensure that only encrypted EBS volumes are attached to EC2 instances,TRUE,Encryption at rest
379,CKV2_AWS_6,resource,aws_s3_bucket,Ensure that S3 bucket has a Public Access block,TRUE,Access policy
381,CKV2_AWS_7,resource,aws_emr_cluster,Ensure that Amazon EMR clusters' security groups are not open to the world,TRUE,Access policy
386,CKV2_AWS_11,resource,aws_vpc,Ensure VPC flow logging is enabled in all VPCs,TRUE,Logging/Monitoring
387,CKV2_AWS_12,resource,aws_default_security_group,Ensure the default security group of every VPC restricts all traffic,TRUE,Access policy
398,CKV2_AWS_20,resource,aws_alb,Ensure that ALB redirects HTTP requests into HTTPS ones,TRUE,Encryption in transit
407,CKV2_AWS_28,resource,aws_alb,Ensure public facing ALB are protected by WAF,TRUE,Access policy
409,CKV2_AWS_29,resource,aws_api_gateway_rest_api,Ensure public API gateway are protected by WAF,TRUE,Access policy
