code,original_category,assigned_category
CKV_AWS_83,Encryption in Transit,Encryption in Transit
CKV_AWS_84,Logging/Monitoring,Logging/Monitoring
CKV_AWS_87,Access Policy,Access Policy
CKV_AWS_88,IP Address binding,IP Address binding
CKV_AWS_91,Logging/Monitoring,Logging/Monitoring
CKV_AWS_92,Logging/Monitoring,Logging/Monitoring
CKV_AWS_94,Encryption at Rest,Encryption at Rest
CKV_AWS_96,Encryption at Rest,Encryption at Rest
CKV_AWS_97,Encryption in Transit,Encryption in Transit
CKV_AWS_98,Encryption at Rest,Encryption at Rest
CKV_AWS_99,Encryption at Rest,Encryption at Rest
CKV_AWS_100,IP Address binding,IP Address binding
CKV_AWS_101,Logging/Monitoring,Logging/Monitoring
CKV_AWS_102,Access Policy,Access Policy
CKV_AWS_103,Encryption in Transit,Encryption in Transit
CKV_AWS_105,Encryption in Transit,Encryption in Transit
CKV_AWS_106,Encryption at Rest,Encryption at Rest
CKV_AWS_107,Access Policy,Access Policy
CKV_AWS_108,Access Policy,Access Policy
CKV_AWS_110,Access Policy,Access Policy
CKV_AWS_111,Access Policy,Access Policy
CKV_AWS_112,Encryption in Transit,Encryption in Transit
CKV_AWS_113,Logging/Monitoring,Logging/Monitoring
CKV_AWS_117,Access Policy,Access Policy
CKV_AWS_118,Logging/Monitoring,Logging/Monitoring
CKV_AWS_119,Encryption at Rest,Encryption at Rest
CKV_AWS_126,Logging/Monitoring,Logging/Monitoring
CKV_AWS_130,IP Address binding,Access Policy
CKV_AWS_131,Encryption in Transit,Access Policy
CKV_AWS_136,Encryption at Rest,Encryption at Rest
CKV_AWS_140,Encryption at Rest,Encryption at Rest
CKV_AWS_142,Encryption at Rest,Encryption at Rest
CKV_AWS_155,Encryption at Rest,Encryption at Rest
CKV_AWS_156,Encryption at Rest,Encryption at Rest
CKV_AWS_168,Access Policy,Access Policy
CKV_AWS_169,Access Policy,Access Policy
CKV_AWS_173,Encryption at Rest,Encryption at Rest
CKV_AWS_201,Encryption at Rest,Encryption at Rest
CKV_AWS_202,Encryption in Transit,Encryption in Transit
CKV_AWS_204,Encryption at Rest,Encryption at Rest
CKV_AWS_208,Outdated feature,Outdated feature
CKV_AWS_209,Encryption at Rest,Encryption at Rest
CKV_AWS_212,Encryption at Rest,Encryption at Rest
CKV_AWS_213,Encryption in Transit,Encryption in Transit
CKV_AWS_214,Encryption at Rest,Encryption at Rest
CKV_AWS_215,Encryption in Transit,Encryption in Transit
CKV_AWS_226,Outdated feature,Outdated feature
CKV_AWS_227,Encryption at Rest,Access Policy
CKV_AWS_229,IP Address binding,IP Address binding
CKV_AWS_230,IP Address binding,IP Address binding
CKV_AWS_231,IP Address binding,IP Address binding
CKV_AWS_232,IP Address binding,IP Address binding
CKV_AWS_250,Outdated feature,Outdated feature
CKV_AWS_251,Logging/Monitoring,Logging/Monitoring
CKV_AWS_260,IP Address binding,IP Address binding
CKV2_AWS_1,IP Address binding,Access Policy
CKV2_AWS_2,Encryption at Rest,Encryption at Rest
CKV2_AWS_6,Access Policy,Access Policy
CKV2_AWS_7,Access Policy,IP Address binding
CKV2_AWS_11,Logging/Monitoring,Logging/Monitoring
CKV2_AWS_12,Access Policy,Access Policy
CKV2_AWS_20,Encryption in Transit,Encryption in Transit
CKV2_AWS_28,Access Policy,Access Policy
CKV2_AWS_29,Access Policy,Access Policy
