file,project,Category,POLID,TOOL,CLOUD,EVALUATION,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,bootcamp-team2022/angular-frontend,IP Address binding,POL23,CHECKOV,AWS,FALSE POSITIVE,https://github.com/bridgecrewio/checkov/blob/4a92ec2fa9ab8b927aaf2741b0a115c579b6b094/checkov/terraform/checks/resource/aws/AbsSecurityGroupUnrestrictedIngress.py#L98
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,alphagov/govwifi-terraform,Encryption at rest,POL15,CHECKOV,AWS,TRUE POSITIVE,https://github.com/bridgecrewio/checkov/blob/4a92ec2fa9ab8b927aaf2741b0a115c579b6b094/checkov/terraform/checks/resource/aws/ALBListenerHTTPS.py#L27
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,Olgoetz/terraform-aws-tfc-state-backup,Encryption at rest,POL71,CHECKOV,AWS,TRUE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,Cimpress-MCP/terraform,IP Address binding,POL76,CHECKOV,AWS,TRUE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,binbashar/terraform-aws-tfstate-backend,Access policy,POL91,CHECKOV,AWS,TRUE POSITIVE,https://github.com/binbashar/terraform-aws-tfstate-backend/blob/3f1488a802b5d5306003d0f04a1573311929db70/examples/s3-tfstate-backend-crr-ssl/variables.tf#L56
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,e2eSolutionArchitect/terraform,IP Address binding,POL76,CHECKOV,AWS,TRUE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,philips-labs/terraform-aws-github-runner,Logging/Monitoring,POL103,CHECKOV,AWS,TRUE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,logicbomb-1/terraform-aws-cis-benchmark,Encryption at rest,POL71,CHECKOV,AWS,TRUE POSITIVE,https://github.com/bridgecrewio/checkov/blob/4a92ec2fa9ab8b927aaf2741b0a115c579b6b094/checkov/terraform/checks/resource/aws/APIGatewayAccessLogging.py#L16C41-L16C56
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,temmyzeus/spotify_airflow_batch_ingestion,IP Address binding,POL23,CHECKOV,AWS,TRUE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,arehmandev/Terraform-etcd,IP Address binding,POL76,CHECKOV,AWS,TRUE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,cicdenv/cicdenv,IP Address binding,POL76,CHECKOV,AWS,TRUE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,splunk/splunkconf-backup,IP Address binding,POL76,CHECKOV,AWS,TRUE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,anttiviljami/wordpress-heroku-docker-project,IP Address binding,POL76,CHECKOV,AWS,TRUE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,keithsjohnson/AWSServerlessFeedbackDemo,Admin by default,POL05,CHECKOV,AWS,TRUE POSITIVE,https://github.com/bridgecrewio/checkov/blob/4a92ec2fa9ab8b927aaf2741b0a115c579b6b094/checkov/terraform/checks/resource/aws/IAMAdminPolicyDocument.py#L44
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,turbot/steampipe-plugin-aws,Encryption at rest,POL15,CHECKOV,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/azure/csv/distribution_by_coverage_azure.csv,HoussemDellai/terraform-course,Access policy,POL08,CHECKOV,AZURE,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/azure/csv/distribution_by_coverage_azure.csv,identiq-protocol/edge-infrastructure,Access policy,POL32,CHECKOV,AZURE,TRUE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/azure/csv/distribution_by_coverage_azure.csv,mrsimonemms/gitpod-self-hosted,Access policy,POL32,CHECKOV,AZURE,TRUE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/azure/csv/distribution_by_coverage_azure.csv,identiq-protocol/edge-infrastructure,Logging/Monitoring,POL35,CHECKOV,AZURE,TRUE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/google/csv/distribution_by_coverage_gcp.csv,2i2c-org/infrastructure,Access policy,POL13,CHECKOV,GCP,TRUE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/google/csv/distribution_by_coverage_gcp.csv,gfilicetti/gHacks,Admin by default,POL04,CHECKOV,GCP,TRUE POSITIVE,*
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/google/csv/distribution_by_coverage_gcp.csv,GoogleCloudPlatform/cloud-hackathons,Admin by default,POL04,CHECKOV,GCP,TRUE POSITIVE,*
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/google/csv/distribution_by_coverage_gcp.csv,sushil46in/terraform_modules,Encryption at rest,POL47,CHECKOV,GCP,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/google/csv/distribution_by_coverage_gcp.csv,abyssparanoia/rapid-go,Access policy,POL27,CHECKOV,GCP,TRUE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/google/csv/distribution_by_coverage_gcp.csv,Cray-HPE/sigstore-poc,Access policy,POL27,CHECKOV,GCP,TRUE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/google/csv/distribution_by_coverage_gcp.csv,pluralsh/plural-artifacts,Admin by default,POL04,CHECKOV,GCP,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/google/csv/distribution_by_coverage_gcp.csv,thecloudterminal01/learn-devops,Access policy,POL27,CHECKOV,GCP,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/google/csv/distribution_by_coverage_gcp.csv,mohammadmonjureelahi/terraform-gke-helm-wordpress,Logging/Monitoring,POL37,CHECKOV,GCP,TRUE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/google/csv/distribution_by_coverage_gcp.csv,terraform-google-modules/terraform-docs-samples,Access policy,POL27,CHECKOV,GCP,TRUE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/google/csv/distribution_by_coverage_gcp.csv,GoogleCloudPlatform/monolith-to-microservices-example,Access policy,POL27,CHECKOV,GCP,TRUE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/google/csv/distribution_by_coverage_gcp.csv,velascoluis/polyexpose,Access policy,POL27,CHECKOV,GCP,TRUE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/google/csv/distribution_by_coverage_gcp.csv,terraform-google-modules/terraform-google-sql-db,Access policy,POL27,CHECKOV,GCP,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/google/csv/distribution_by_coverage_gcp.csv,basisai/terraform-google-vault,Admin by default,POL04,CHECKOV,GCP,TRUE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/google/csv/distribution_by_coverage_gcp.csv,jenkins-x/terraform-google-jx,Access policy,POL13,CHECKOV,GCP,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,afloesch/learning-terraform,Encryption at rest,POL28,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,ahelal/terraform-modules,Encryption at rest,POL28,TFSEC,AWS,FALSE POSITIVE,not encrypted
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,alphagov/govuk-infrastructure,Encryption at rest,POL71,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,alphagov/govwifi-terraform,Encryption at rest,POL71,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,aws-samples/aws-trusted-advisor-glue-aggregator-terraform,Encryption at rest,POL93,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,azavea/spacenet-viz,Encryption at rest,POL111,TFSEC,AWS,FALSE POSITIVE,not root_block_device
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,azavea/spacenet-viz,Outdated feature,POL56,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/google/csv/distribution_by_coverage_gcp.csv,bacalhau-project/amplify,Logging/Monitoring,POL31,TFSEC,GCP,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,bcgov/workbc-main,Outdated feature,POL56,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,CirclesUBI/infrastructure-provisioning,Encryption at rest,POL111,TFSEC,AWS,FALSE POSITIVE,not root_block_device
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,CirclesUBI/infrastructure-provisioning,Encryption at rest,POL71,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,CirclesUBI/infrastructure-provisioning,Encryption in transit,POL55,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,clojars/infrastructure,Encryption at rest,POL111,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,csanquer/gitlab-setup,Encryption at rest,POL111,TFSEC,AWS,FALSE POSITIVE,not root_block_device
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,csanquer/gitlab-setup,Encryption at rest,POL28,TFSEC,AWS,FALSE POSITIVE,not encrypted
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,denoland/deno_registry2,Encryption at rest,POL71,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,dvargas92495/roamjs-static-site,Encryption at rest,POL71,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,dwp/aws-analytical-env,Encryption in transit,POL55,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,gravitational/teleport-cluster-terraform,IP Address binding,POL24,TFSEC,AWS,FALSE POSITIVE,not all instances
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,graymeta/terraform-aws-platform,Encryption at rest,POL28,TFSEC,AWS,FALSE POSITIVE,not encrypted
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,graymeta/terraform-aws-platform,Encryption at rest,POL48,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,hotosm/underpass,Encryption in transit,POL55,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,jeastham1993/application-integration-patterns,Encryption at rest,POL71,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,maddevsio/aws-eks-base,Outdated feature,POL19,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,mattermost/mattermost-cloud-monitoring,Encryption at rest,POL28,TFSEC,AWS,FALSE POSITIVE,not encrypted
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,Miyurz/aws-k8s,Encryption at rest,POL111,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,MrrRaph/wavegame-terraform,Encryption at rest,POL71,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,open-apparel-registry/open-apparel-registry,Outdated feature,POL56,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,open-apparel-registry/open-apparel-registry,Encryption at rest,POL71,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/google/csv/distribution_by_coverage_gcp.csv,praetorian-inc/trident,Logging/Monitoring,POL31,TFSEC,GCP,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,privacysandbox/fledge-key-value-service,Outdated feature,POL56,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,projecthorus/sondehub-infra,Encryption in transit,POL55,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/azure/csv/distribution_by_coverage_azure.csv,Pwd9000-ML/Azure-Terraform-Deployments,Encryption in transit,POL10,TFSEC,AZURE,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,raavula/devops,Encryption at rest,POL111,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,rabbitmq/rabbitmq-ct-helpers,Encryption at rest,POL111,TFSEC,AWS,FALSE POSITIVE,not encrypted
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,rackspace-infrastructure-automation/aws-terraform-s3,Encryption at rest,POL93,TFSEC,AWS,TRUE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,Rondineli/mutirao_devops_cloudfront_demo,Encryption at rest,POL28,TFSEC,AWS,FALSE POSITIVE,not root_block_device
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,seiji/terraform-aws-modules,Encryption in transit,POL55,TFSEC,AWS,FALSE POSITIVE,EXAMPLE
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,sighupio/fury-eks-installer,Encryption at rest,POL28,TFSEC,AWS,FALSE POSITIVE,https://github.com/gravitational/teleport-cluster-terraform/blob/75379d97efc197b96224be03156d648d30700eca/proxy_asg.tf#L127
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,somleng/somleng,Encryption at rest,POL111,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,springboot-angular2-tutorial/micropost-formation,Encryption at rest,POL111,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,SumoLogic/terraform-sumologic-sumo-logic-integrations,Encryption at rest,POL71,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,tapglue/snaas,Encryption at rest,POL71,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,tedilabs/terraform-aws-misc,Access policy,POL92,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/google/csv/distribution_by_coverage_gcp.csv,terraform-google-modules/terraform-google-sql-db,Logging/Monitoring,POL31,TFSEC,GCP,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,turbot/steampipe-plugin-aws,Encryption at rest,POL71,TFSEC,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,umccr/infrastructure,Encryption in transit,POL55,TFSEC,AWS,FALSE POSITIVE,EXAMPLE
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/google/csv/distribution_by_coverage_gcp.csv,wynsen/gcp-enterprise,Admin by default,POL03,TFSEC,GCP,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,zeroabsolute/Terraform-AWS-ECS,Outdated feature,POL56,TFSEC,AWS,FALSE POSITIVE,
