Id,Type,Entity,Policy,IaC,Selected,Category
1528,CKV_GCP_46,resource,google_project_iam_binding,Ensure Default Service account is not used at a project level,FALSE,
1530,CKV_GCP_47,resource,google_organization_iam_binding,Ensure default service account is not used at an organization level,FALSE,
1532,CKV_GCP_48,resource,google_folder_iam_binding,Ensure Default Service account is not used at a folder level,FALSE,
1534,CKV_GCP_49,resource,google_project_iam_binding,Ensure roles do not impersonate or manage Service Accounts used at project level,FALSE,
1536,CKV_GCP_50,resource,google_sql_database_instance,Ensure MySQL database 'local_infile' flag is set to 'off',FALSE,
1544,CKV_GCP_58,resource,google_sql_database_instance,Ensure SQL database 'cross db ownership chaining' flag is set to 'off',FALSE,
1545,CKV_GCP_59,resource,google_sql_database_instance,Ensure SQL database 'contained database authentication' flag is set to 'off',FALSE,
1551,CKV_GCP_65,resource,google_container_cluster,Manage Kubernetes RBAC users with Google Groups for GKE,FALSE,
1552,CKV_GCP_66,resource,google_container_cluster,Ensure use of Binary Authorization,FALSE,
1553,CKV_GCP_67,resource,google_container_cluster,Ensure legacy Compute Engine instance metadata APIs are Disabled,FALSE,
1554,CKV_GCP_68,resource,google_container_cluster,Ensure Secure Boot for Shielded GKE Nodes is Enabled,FALSE,
1556,CKV_GCP_69,resource,google_container_cluster,Ensure the GKE Metadata Server is Enabled,FALSE,
1558,CKV_GCP_70,resource,google_container_cluster,Ensure the GKE Release Channel is set,FALSE,
1559,CKV_GCP_71,resource,google_container_cluster,Ensure Shielded GKE Nodes are Enabled,FALSE,
1560,CKV_GCP_72,resource,google_container_cluster,Ensure Integrity Monitoring for Shielded GKE Nodes is Enabled,FALSE,
1562,CKV_GCP_73,resource,google_compute_security_policy,Ensure Cloud Armor prevents message lookup in Log4j2. See CVE-2021-44228 aka log4jshell,FALSE,
1566,CKV_GCP_77,resource,google_compute_firewall,Ensure Google compute firewall ingress does not allow on ftp port,FALSE,
1567,CKV_GCP_78,resource,google_storage_bucket,Ensure Cloud storage has versioning enabled,FALSE,
1571,CKV_GCP_82,resource,google_kms_crypto_key,Ensure KMS keys are protected from deletion,FALSE,
1584,CKV_GCP_95,resource,google_redis_instance,Ensure Memorystore for Redis has AUTH enabled,FALSE,
1607,CKV_GCP_110,resource,google_sql_database_instance,Ensure pgAudit is enabled for your GCP PostgreSQL database,FALSE,
1614,CKV_GCP_115,resource,google_organization_iam_binding,Ensure basic roles are not used at organization level.,FALSE,
1616,CKV_GCP_116,resource,google_folder_iam_binding,Ensure basic roles are not used at folder level.,FALSE,
1618,CKV_GCP_117,resource,google_project_iam_binding,Ensure basic roles are not used at project level.,FALSE,
1620,CKV2_GCP_1,resource,google_project_default_service_accounts,Ensure GKE clusters are not running using the Compute Engine default service account,FALSE,
1621,CKV2_GCP_2,resource,google_compute_network,Ensure legacy networks do not exist for a project,FALSE,
1622,CKV2_GCP_3,resource,google_service_account_key,Ensure that there are only GCP-managed service account keys for each service account,FALSE,
1623,CKV2_GCP_4,resource,google_logging_folder_sink,Ensure that retention policies on log buckets are configured using Bucket Lock,FALSE,
1627,CKV2_GCP_5,resource,google_project,Ensure that Cloud Audit Logging is configured properly across all services and all users from a project,FALSE,
1640,CKV2_GCP_10,resource,google_cloudfunctions_function,Ensure GCP Cloud Function HTTP trigger is secured,FALSE,
1641,CKV2_GCP_11,resource,google_project_services,Ensure GCP GCR Container Vulnerability Scanning is enabled,FALSE,
1642,CKV2_GCP_12,resource,google_compute_firewall,Ensure GCP compute firewall ingress does not allow unrestricted access to all ports,FALSE,
1649,CKV2_GCP_19,resource,google_container_cluster,Ensure GCP Kubernetes engine clusters have 'alpha cluster' feature disabled,FALSE,
1650,CKV2_GCP_20,resource,google_sql_database_instance,Ensure MySQL DB instance has point-in-time recovery backup configured,FALSE,
